30774 12821 3147;30774 3147
943 5962 958 36424;5962
47 28324;28324
34818 33043 28447 363 34815 36461 34848 36436;36461 363 34815 33043 34818 34848 36436
715 76 253 1416 11196 11248 6806 9596 5716;253 11248
47 1151;47
44083 44130 44072;44083 44130
49105 18153 25355 50305 49128;50305 49128 18153
46297 46300 34276 45994;46297 46300 34276
33029 744 3725 1125 33034;33029
46297 244 46300 46331 46341 46307 46309 43043 46299 30744 1516;46297 46299 1516 46341 46307 46300 46309 43043
6977 33037 1121;6977
49099 49096 5786 49278 49119;5786 49099
36249 48259 51139 48282 5528 48256 3935;48259 48282
23087 23072 3446 15752 363 404 410 742 23090 90;410 15752
44074 44076 44121 44124 44075 43718 44582 42440 44611 43175 2425 178 40660 42850 40666 26266 26267 42447 31933 44631 37927 28325;44074 44076 44121 40660 44611 31933 44631
9090 30866 8947 893 44076 6683;6683 44076 30866 8947
44628 44768;44628
39255 40660 23068 40661 29017 40669 40655 40658;40660 40661 29017
44589 44593 44611 4063;44593 4063 44589
37878 37883 36719 37907;37878 36719 37907
916 917 44621 8769 44595 44124 44122;916 917
2183 3361 4595 36436 1048;2183 4595 1048 3361
50292 47061;47061
490 1671 39255;490
41484 4063;41484
5537 8783 11010 9529;11010 8783
51115 45765;45765
46924 28328 48269 1587;46924 28328
3877 5947 30757 30753;30757
3871 15137;3871
306 45994 781 22231 13693 10578;781 22231 45994 13693
13067 4404 2407;4404
2592 1725 7465 1933 42474 11428;11428 1725
39257 43305;39257
1818 747 1814 4542 611;747
34816 36437 2689 4676 5193;34816 2689 4676
49112 4430 49111 49113 50315 1827 47059 25355 50304 18153 50313 50305;18153 50313
91 203;91
32210 33029 33034 31043 33030 33043;32210 33029 33034 33043 31043
10727 10728 169;169
1679 2350 9888 1239 2351 430 1242;1239 2351 2350 1242
1632 2741 14210 16608 3208;3208
33026 3351 214 3399 36433 36416;33026 214
16109 28366 2092;28366 16109
44271 92 37910 249 207 1164 46300 2224 561;207 1164 37910 561
30764 786;30764
49178 22203 50293 4408 50308 50305 49128 25355 18153 50304 50319 6058 2931 9957 41525 2929;22203 50304 50305 4408 49128 41525
221 975 148;221 148
46 47;47
49083 50302 50295 11533;50302 50295
11736 28406 4414 14685 15787 3910 9302;11736 28406 3910
49083 49097 2567 48255 49126 49105;49126 49083 49097 49105
41472 246 41449;41472 246
45786 46297 23274 8376 1983 1140 7502 10829 46329 1989 46315 44919 133 46299 28337 1176 4705 652 44658;44919 46297 23274 46299 45786 1176
4922 39613 26751 8519 39682 2998;2998
868 1260 3992 22854 16175 34842 22779 41486 41518 1039 13634 17373 44269 22070 13428 13631 4135 45799 45875 11084 11424;45875 41486 868
44582 44581 41491 44611 44628 44583 3227 43201 6210 2269;41491 44582 44581 3227 2269 44611 44628 43201
34817 2039 4063;2039
4366 3436 6767;4366
33048 2408;33048
37929 36765 2943;37929
20264 1044;1044
363 90 8959;363
39253 484;484
5399 4517 3473 6606 4518 9645 11050 10455 6607 4519 14838 9029 20450 7487 546 5257;9029 546
6805 30747 677 678 3918 2275;677
40679 40673;40679
7790 7753;7790
26802 2230 1574;26802
166 7164 383 6936;7164 383 166
43718 5780 44582 44122 44581 44135 40655 42444 4063 42439 42449 44631 3896 43716 16200 42574 1137 42437 307 30971 1671 34819 3615 7789;44581 44582 44135 40655 4063 42444 42439 42449 3896 44631 34819 43716 7789
36484 3374 3376 17070 6997;3374
298 11597 14249 14960 2358;2358
34812 34818 34815 33043 33029 32210;34818 34815 33043 32210
51100 51101 51099 51121 50403 45351 1827 18753 49117 49106 49081 696;51101
604 30746 18993;30746
23103 1403 5120;23103
3429 5161;5161
51700 51729 51235 2651 51093 50364 973 45908;51700 51729 51235 2651 51093 50364
51100 51095 51076;51100 51095
51102 45215 51098 51103 51095 51100 51113 51099 51132 51088 50364 51129 973;51095 51100 51132 51113 51099 50364 51129
1015 213 1049;1015
226 39495 40655 40660 249 40682 40681;226 39495 40655 40660
13176 8255 23077 41665 3113;23077
51071 8177 17702 45235;51071
73 149 164 410 288 1833 1824 1223 9648;1223 149 1833
42450 44628;42450
3692 22;22
34815 36416 36433 36434 6952;34815 36416 36433 6952
36517 36469 36464 34871 28325;36517 36469 36464 28325
47738 6426 47060 47061 49099 49083 49097 48280 48263 42444;47738 49099 49083 42444
4352 7768 6469 6471;6469
16166 5743 8669;16166
14725 39298 15913 18386 18674 37871 36719;15913 14725
6562 1933 7466;1933
111 41449 41445 41479 41468;41445 41479 41449
50336 50335 50320;50335 50320
37877 37890 30195 37897 37903 5733 37920 37921 37875;37920 37921 5733 37877 37875 37890
46925 47490 47487 47503 47486 47477 47507 47500;47487 47490 47507 47500
51080 10341;51080
36430 3049 37930 37889 23068 37876 37879 33032;37930 37876 37879
41454 92 37910 730;41454
1124 4143;4143
44081 44078 44085 44118 3121;44081 44078 44085 44118
1101 9331 742;9331
204 203 205 549 2366 2455 116 1182 634;205 1182 634
44599 44595 44621 44587 44616 44135 40655;44599 44595 44621 44616
45295 41459 41458 45257 41451 49088 30 49105 49117 49097 49098 18153 50315 45771 50314 4724 50308 3466 50336 51103 51072 49096 50328 611 10456 7305 5734 3439 12403 37881 48254 45234 45792 6094 51111 21909 41491 45265 1170 6441;3439 48254
2834 7458 1643 1578 946;946
1153 37912 36765 203;36765 37912
48266 48280 48274 2269 4737 17985;48274 17985
347 346 45214;45214
3399 30776 2189 4490 2372;30776
43182 31559 47548 47438 27255 47494 33214 47492 47491 47493 47585 47547 47496 47495 43192 43203 3410 5989 2269 3227 2798 2394 506 893 40 169 3391 942 47501;31559 47548 47438 27255 47494 47492 47491 47493 47585 47501
32340 23206;32340
1159 4920 11561 7868 948 980 830 828 26266 5345 1157 11306;7868 980 828
192 1238 2173 210 96 1761 26264 26265 26266 28339;2173 1238 192
23087 360 11992;23087
23780 183 1672 3465 3466 33032 173 3336 3163 1945 17263;23780 17263
39257 631 39279 9029 41468 6517 41 39246 39285 6426 39247 33169;39257 39279 6517
680 94;680
45258 47483;47483
120 25905 2017 2418 4293 39320 7863 6280;120 7863 2418 39320 6280
51069 45994 7563 976;51069
39244 39240 39288 39273 39259;39240 39288 39259
42438 42476 1811;1811 42438
48280 17733 22 48272;48272
164 2261 3245 5659 23224 148;164 23224
90 23366;90
50325 44096 46904 46932 381;50325 46904 46932
798 33159;33159
3286 39286 45773 45765;45765
28377 23431 23430;28377
51080 51132;51080
37945 23331 2031 2171 1975;37945
237 204;204
47 50;50
30791 938;30791
1671 34819 34812 1069;34819 34812 1069
42448 42447 2514 12080;42447 42448 12080
8957 8958 1937 23755;8958
44705 45238 45234 45226;45234 45226
51076 51089 50343 49617 50367 51094;50367 50343 51094
25155 42462;42462
26802 7306;7306
631 44658 37898 45781 417;45781 631 44658
28858 249 611 23078 39241 487 2630;28858 249
36438 30776 1435 7294;36438
50328 50327 50307 1516 2746 46333 45081 50306;50328 50327 1516 50307 45081
26267 23644 26264 28325 23078 28389 176 1423 29 122;26267 23644 28325 26264 176 28389
546 28321 975;546
226 227;226
32 11666;32
45 47 4896;45 47
47500 43192 44609;47500 44609
64 43191 44130 196 44072 37323;64 43191 44130
421 203 117 10 205 45300 8611;203 45300 421
35110 3546 19552;35110
32210 33029 1076 220 33034 24 4572 2614 2251 32208 23070 31513 31586 31587 3022 10674 3286 18 3725 1249;32210 18 23070
4408 22203 20537 18153 50304 49178 25355 49130 50319;4408 22203 20537 50319
49099 49097 50327 50328 48273 49095 49083 49146 50296 50335 50340 707 46897 50302 249;48273 49099 50328 50302 50296
26266 23644 5184;26266
44580 36719 44598 44578 13332 43199 44583;44583 44578 13332
88 1698 1230 23156;1230
45232 51120 51100;51120 51100
21451 28325 42443 37927 43192 43207 49148 50304 49130 25355 18153 46335 44629 1857 49105 46940 46919 3121 44599 4279 46917 46925 46918 46900 4836 49093;42443 43207 25355 49105 46940 44599 46917 46900 46918
6700 12837 7;7 12837
1615 1421 6022;6022 1421
2788 2787 42457;2787
33705 39241 4595 33369 40672 175 90;33705 4595 33369 40672
9951 9487 5051 3384 33627 40650 1811 7181 30752 7375 1057;9487 7375
11004 605 1560;11004
3315 3464 2185 3844;3464 2185
29312 335;335
47059 47061 47473 47060 42438 218;47059
51701 51208 51703 723 11069;51701 51208 51703
867 5367 11595 47581 47851 1989 20611 47848 48666 8069 5366 28431;867 47581 1989
721 634 112 117 2034 1182 1755 11082 722 143;117
39285 226;226
2689 34812 34814 3399 34818 34815;34812 2689 34818 34814
45236 44271;45236
50303 50300 1827 45351 383 50307 50297;50303 50300 45351 50297
122 51759;51759
2280 30640;2280
4141 4140 30750;4141
1013 142 161;1013
579 581 318 578 7696;318 578
3524 1680 2777 36434;3524 1680 2777
905 439 8947 7834 906 1148;439 1148
49081 49100 6871;6871
992 9958 10230 22074;10230 992
49138 2700 1760 1980;2700 1980
41535 37889 39320 39341 120 42439 42464;41535 42439 42464
2868 10995 36925;2868
26266 23644 1944 28365 28382;23644 26266
204 203 1183 421 205 237 30 8780;205 203
49094 49112 46316 40656 49093 49113 46321 49123 45807;45807 49094 49123
32667 23262 6007;32667
1781 1782 4366 7815 4608 1437;1782
49083 50324 46299 44643 49105 49098;49083 50324 49105 49098
48266 48256 48262 44641 549;48266 48256 48262
46295 24823 37889 46354 12471 3836 18281 19473 19767 21058 17050 7345 9855 18280 45234 44757 2714 1956 7288;46295 46354 7288
51069 375;51069
1273 561 639 680 46314 114 1782 30756;46314
524 163;524
117 722 721;722
41448 16330;16330
30862 12495 15231 7499 11430 11864 13051 4440;12495
30741 30745 363 5568 28447 23434 90;5568
249 601 135 27 137 29 1611 24 705 181 133 487 184 183;137 133 249
23265 6073;6073
4016 30447 3798;4016
33029 33043 32210 32208;32208 33043
15941 10245 3188 10101 1029 1310 13161 3844 11310 15804;15941 10245 13161 3844 15804
40660 40655 29017 40669 23068 40661;40660 40655 40669 29017
44074 181 7780 44624 44582 44641 4063 43177 44103 44626 731 13342 43151 39256 32210 43162 39247 2630 20336;7780 44624 44582 43151 32210
5100 822 33176;33176
6360 2593;2593
23607 30697;30697
39272 48253 46903;39272 48253
1049 1053;1053
7502 15902 38359 5625;7502 38359
45221 45088 19304 28468 2039;45221 45088 19304 2039
38407 4164 44948;4164 44948
48280 47521 49083 5510 3994 2744 48276;48280 47521 5510 48276
33048 9171;33048
786 318;786
46295 4615 43183 7017 43207 123;43183 7017 46295 123
51 23332 212;23332 212
5180 533 2939 40677 6381 531 13769;531
1390 30750 7501 4117 6737;30750
45215 681 4422 42844 133;681 133
8670 44641;8670
90 486;90
13843 14875 16704 27478 18 1958 146;14875 146
205 204 45770;45770 205
44584 47547 43188;44584 47547
26266 23644 26265 28325 28365;26266 23644
571 1913;1913
39365 39312 47683 2944 2230 2514 839 4280 207 2756 16498 10466 138 354 6114 1324 537 10570;39365 2230
48278 47504;47504
28324 28396 23164;23164 28324
2418 9022 25905;2418
45232 45759 45815 44096 17221;45232 45815 45759 17221
37945 30866;30866
46925 46916 46917 46901 46911 45994;46916 46911 45994 46917 46925
23118 33048;23118
46300 46329 46326 46330 46328 46331 40656 46468 44077 28337 1176 5403 46299 958 46297 244 46336 46335 46341;46300 46297 46468 44077 46335 46326 46341
47471 47472;47471
34822 34823;34823
524 183 5552 40660 23068 33032 173 28435 36433 2213 175 171 307 34815 745 134 4594 34819 1671 30754 36426 10792;40660 28435 2213 30754 524
3660 44734 45295;44734 45295
4400 304;304
893 2263;893
4400 46295;46295
23644 26266;23644
10822 14751 7449 14750;10822
162 439 905 906;906
23118 5934;23118
6039 51082 41583;6039 51082
1824 30931 33029;1824
730 92;730
49130 50319 19898 25355 50297 50303 1827 45351 51137;50319 19898 50303 51137
174 30790 30736;174 30736
41492 12052 41495;41492 41495
1290 2853;2853
1583 3748 37907;37907
23164 44582 459 151 612 43154 41446;23164 43154
4446 28339;4446
6188 23690;6188
46354 473 46327 91 10;91
4516 3319 1139 28435;4516
2252 23644 17184;2252
92 12077 14172 523;92
47492 47491 47494 33214 7063 42442 47500;47491 47492 33214 47494 42442
3230 3121 46916 46917 46918 3120 129;3230 3121 3120 46916
1430 52027;52027
1523 37930;37930
903 45 237 45317 45300 203 51 28329;45300 45
48279 48300 48253 44117;48279 48300 48253
7863 37945;37945
1181 45361 45300 143;143
35594 7655;7655
45280 45247 2593;45280
48266 48256 41478;48256 48266
2687 1782 1781 115 1980 680 8777 2283;1781
3533 5266 871;871
1390 6095 4400 45223 45264 90 4324 44634 8454 14733 17342;44634 6095 8454 45223 45264 1390
45773 1040 459 30931 45765;45765
23772 23176 1467;23176
7753 51121;7753
867 37895;867
2358 2096 702 1855;2358 702
892 2244 4148;4148 892
48271 3887 5786 49085 49131 1469;1469
3766 39288 28816;3766 39288
1689 1078 4358;1078 1689
45786 46899 44578 44629 44598 28389 44127 44645 44696 3467 30754 42440 1054 10589 23755 1937 8270;45786 44629 44645 46899
1529 7684 2070 5374 2631 9466;1529
43156 43162 43152 42449 42336 42437 249 42451 42473;43156 43162 43152 249 42473
31043 32210 33029;33029
30640 23091;30640
40656 40664;40656
37871 11064 13228;37871
47471 47472;47471
49178 22203 50306 50307 51097 51102;22203 50306 51097 51102
1934 11889 11535 18978;11535 18978
30782 786 30764 33 30752 850 33048 37906;33 33048
47492 47547 47491 43187 47507 3531 3532;47492 47491 47507 43187
37901 37871 36719;37871
23164 98 28329;23164 28329
15377 12329 249 27 37889 37905 28858 23072 37888;15377 37889 28858
2359 3315 1021;2359
30762 30766 2188 3402;30766
44611 44628 43717 39300 43204 4676 5639 44135 40665 42439 36719 37881 44663 5386 43242;43717 36719
373 23036 36442 305 36901 8601 22215;373 23036 8601 22215
37890 2755 37877 37888 4249 17972 16200;37890 4249 16200 17972
34821 34820 36445 8629 4862 36460;34820 34821 36445
8569 23121;8569
47505 34815;47505
21154 932 15134;932
50303 50297 1827 383 50314 50317 50075 50319;50303 50297
46901 46896 46894 47474 47477 47476 47490 47057;47490 46901
30931 33043;33043
9379 33053 17941 42492 5044 2907 23202 8733 10334;2907 9379
48266 48256 48274 48257 730;48266 48256
203 205 204 116 117;117 204
46295 2028 47058 7818 28349 44630 2002 47505;2002 46295 47058
26267 23644 26264 26265 23078 307 174 132 1485 2614 131 987 134 23135 1312 3615;23644 26267 132
6632 25381 7173 6657 6659 7831 7878 6661 9131 1607 8178 5407 7833 38436 34955 38246 38245 38244 34934 38317 38401 38402 6656 13452 47061 8298 14354 15275 15133 17202 10401;1607 38436 7173 9131 8178 13452
49096 49083 49117;49083 49117
47492 43183 47496 47547 47493 48354 44583 1026 2252 46980;47496 47547 44583
6603 2577 858 2793 8157 10121 5798 9669 2118 2772 7035 29450 7755;2577 10121 9669
3874 23204 23109 18610 4846 3330 517 3327 23613 6615 9259 6188 3008 32 2556 2860 486 31 604 946 1583 252 662 72 360 574 541 24003 1662;3327
120 9090;9090
47060 47058 47473 47472 47506;47060 47473 47506 47472
1499 1500 256 17095 2444 3315 962 2489 1152 18345 11248 3897 12759 578 5436 1753;1500 2444 3315 962
2510 23780 27349 33029 41445 33030;41445
46922 1252 45774 2383 16721 42850 3682;1252 45774 2383 16721
23760 2914 17844;2914 17844
28648 30736 30760 29 3803 1612 1613 4594;28648 30736 30760
893 2394;893
51069 324 433 976 49105 50328 39241 49118;433 324 976 49105 49118
43166 43167;43166
47524 47539 47514;47524 47514
42437 42574 1137 45787 45761 46332;42437 42574
16283 7526;16283
7330 10412 855 7005 19315 15511 7707 15198 5139;5139 15198 19315 7707
23262 32667;32667
17095 1276 3464 1938 24873 155;17095
17780 1542 3005 16549 17600 12447 1547 15673 1541 3950 1539 3746 13687 13581 14423;16549
30761 46928 39255 49104 44643 49097 40660 750 388 42843 15377;49104 44643 42843 15377
36425 2396 2382 12291 12290 42490 6059 42454 3700 2489 962 34917 34907 36469 34856 34857 34855 36440 19752 33174 881 7236 7232 6493 6494 12910 13988 7230 2768 7231 10433 11844 8643;2382 34856 42490 12290 42454 34857 34855
39390 4357 10185 26252 6567 7326 34959 10470 41684 44381;7326 4357 41684 10470 10185 26252 6567 34959 44381
32210 33043 33029 31043 33030;32210 33043
47061 47059 47060 47471;47059 47061 47060
23281 23166 1230;1230
37966 8548 7724 4736 3867 1305 10761 35075;8548 3867
30931 33034;33034
8847 4697 891 1582 5643;891
28346 318 30738 30737;28346 30738 30737
91 45760 43156 17 41444 44071 41580 44582 4595 249;91
23136 786 33;23136 33
146 147 26267 887 7069 23491;147 887
5424 48255 28355;5424 28355
37933 40832 5730 11789 28323;37933 28323
23644 28325 28352 26267 1159;28352 28325
40658 29017 40669 40665 40659 40680 40671 40661 40662 36436 23068 249 30754 28858 30761 40672 40667 33369 4595 175 28333 28435 40663 40666 40657 2510;40658 29017 40669 40680 40667 40665 40659 40663 40671 40672 4595
46295 45994 46321;46295 45994
39271 39304 1671 36719 37872 5513;1671 39271 39304 5513 36719
10422 474 1170 6183 9116 9216 7608;474 9116
221 3030 6906 3036 3035 4202 16334 1369 1368 13079 842 1076 843 1824 10639 4932 7323 9677 4933 6377 6378 8689 792 2383 8945;3030 843 9677 842
23343 9404 10725;10725 23343
47547 47493 31559 47548 47494 33214 47060 47058;47547 47493 31559 47494
7514 9483 5606 37906 7517;7514
46300 45994 46322 46347 45858 45757 42444 45792 46297 46295 45799;46300 46322 45757 45858 45799 46297 42444 46295 45792
21357 39285 38150;21357 39285
3030 44600;44600
2915 3096 18278;2915 3096
473 46327 903 117;473
545 5602;545
50297 50303 1827 45351 50323 49112 49093 10779 20220 451 2575;50297 50303 50323 45351 10779
51102 44095 49095 7112 51092 51700;51102 51700
44580 44583 44597 44584 37878 44611 45220 45254 26265 45222 31933 45256 45215 44609 44581;44583 44584 45254 37878
3544 40655 40659;3544
45214 47579 47563 28328;45214
30774 4422 9787 33 23247 23462 218 3467 520 171 33032 132 136 184 387 715 1380 33031 4355 29 181 705;30774 218 520
47507 39379 27272 5465 1035 6155 2192 1688 27635 13044 9492 7542 20180 13898;47507 39379
38023 539;38023
20394 18377 5288 45547 26030 17657 19413 20503 16657 10322;20394 5288 18377 45547 19413
13569 11737 9881 11736 12924;13569 11737 11736 9881
31106 7846 15173 10824 556 289 47498 47479 45762 45797 47060;31106 556 289
28435 4595 33369 1671 4594 34819 34907 34917 37877 8722 37901 34820 1069 1640 36416 40665 37900 30971 504 23068 41461 33032 174 1417;34907 37877 37900 30971 1417
47505 47530;47505
46335 46330 244 45994 46328 46295 303 46349 24823 4615 301 46336 46350;46295 46335 46328
12856 7399;12856
46934 46968 46933 46935 46926 46938;46968 46938 46926 46933 46935
46297 46300 46333 45081 43043 46299;46297 45081 43043 46300
39288 39297 39240 39279;39288 39240
783 4447 47 98;783
23120 23136 26267 26264 26265 23431 11525;26267 23136 11525 26265 26264
6490 99 28376 6163 678 3683 2660 407 677 6894 41451 6559 4598 20698;407 6559
46934 46935 1939 46926 46945 46906;46906 46926 46935 46945
51120 51070 42380;51070 51120
681 3263 1504 7869 6405 14241 6426;681 3263
7546 8313 5893 3211 2451 8156 4691 9360;2451 9360 4691
45300 46400 205;205
43187 47491 47535 33214 27255 47494 47492 43183;47491 47535 47494 33214 47492 43183 27255
42458 42546 42460 808;808 42458
45214 28404 1629;45214
19190 6410;6410
506 2308;506
5384 3708;5384
494 9820;494
29312 336 2863 4343 2892;336
533 343 411 978 3201 531;533
518 25687 2033 33195 921 11094 5023 23310;25687 11094 921
40655 40660 40669 40661 30754 5010 778 23068;40660
17895 51139 12755 51113;51113 12755 51139
11384 1583;1583
2755 30195 17972 16200 12433 10988;30195 17972 10988 16200
36421 36428 28348;36421
3140 648 956;956
40660 40655 40658 40667 175 40664 34815 41442 170 30971 34819 39251 39286 39241;40658 40667 34815 40664
6936 1616 1030 16308 2931;1030
17 20 503 917 504;17 20
601 611 249 1813 3467 1424 248 1612 1611 2918 5551;601 2918
13462 45994;13462
1421 28333 8689;1421
33039 36719 37892;37892
49215 49187 49142 51069 324 976 49206 46359 46308 46377 47114 400 49205 3528 43161 36733;49187 49142 976 324 49215
28348 2665 30738 1827 30735 26266 23644 26265;2665 30738 1827 30735
44619 37881 44607;44619
51095 51080;51080
37888 37890 37904 30195 5733 37879 28858 249 23068 37876 36719 2381 11782 3656 17972 941 3410;37876 3656 37904 37890 17972 941
48276 48273 42439 49092 4430 49101 47516 605 47497 47485 49105 49098;48276 42439 48273 49092 47516 49105
43207 43183 33214 47494 942 43187;33214
50302 50328 50327 249 7159 50340 49096 6305 49105 49098 50341;50302 50328 49105 50327 49096
16341 730 93;93
44582 42439 44611 44643 42444 44641;44582 44611 44641
4447 902 1346 783;4447
39318 40034 3685 401 7291 10948;39318 40034 7291 10948
3927 5366 3744 8271 1140 12064 12046 41469 45765 45764 45740 45784 285 275 45994 46315 1078 8564;3927
49099 44098 2489 1709 42843;44098
2859 34828 33034 41446 33043 9645;34828 33034
715 218 76 915 520 501 1288 503 502 714 77 3229 5082 3688 9614 3120 916 917 2265 2011;218 76 503 714 915 77 3120 1288 3229 9614 5082
5221 37901 37871 37878 37883 36719;37871 37878
5759 117 143;117
43197 42554;42554
5804 20537;20537
11050 10455;10455
48266 48280;48280
91 10 46327;91
13069 6071 13677;13069
43203 3227 43192 43187 44584 31559 47438 3410 47506;43203 43192 43187 44584 31559
10668 994 246 17173 16492;994
39274 44634 8271 7251 33705 3310 6878 1039;44634 1039
37912 36765 1118;37912
45994 46336 46328 46329;45994 46328 46329
7002 722 548 1755 1644 5150 1398 1839 1399 5276;1755 1644
41459 1703 3483 4224 10674;41459
37 823;37
1075 148 32210 33043 33029;33029 32210 33043
3399 34818 34814 2425 6437 414 2103 62 123 1955 941 1076 6559 13754 16651 41351 34035;34818
2479 903 44175 6098;903 44175
42444 42447 42440 41459 40669 705 41460 30761;42444 42447 41459 41460
1833 20891 13944;20891 1833
9744 9029 20450 14838;9744
579 318;579
1130 1002 3044;1130
10 91;91
41454 730 92 41571 48283 1782 260;260
40674 40678 1048 369;40674 40678 1048
51071 17729;51071
33026 10484;33026
1659 7227 6538 7140 6764 3837 2134 4271 3669 18763 11371 8987 19074 10336;1659 6764
3206 6286;3206
45811 32210 45773;45773 45811
23091 901;23091
6695 7047 43242;7047
433 976 37919 585 204;433 976 204
5932 13263;13263
36437 36438;36438
39285 21357 181;39285 21357
46332 40656 44078 752 46331 46307 43043 46299;46332 46299
111 237 421 1156 143 721 722 117 363 574;143 421
28324 116 903 237 205 113;28324 116 903
14358 2125 14359 51091 51078;14358 2125 14359
2593 45280 45781;45280 45781
42478 42441 42447 42452 249;42447 42441 42478
49147 51122;51122
46317 46353 5973 7413 44134 42490 6291;46317
30759 30735 2022 457 30751 30737 30760;2022 30735 30759 457 30737
45792 15015;45792
15752 363 90 4679 4243 6069 1017;90 15752
23066 44112 30750 2161;23066 44112 30750
27210 20620 1571 10711 26036 44610 37881 37882 44578 44584;27210 20620 26036 10711 44578 44610 44584
12725 39393;12725
10412 1059;10412
381 2109;2109
3372 49274;3372
33037 30791 903;33037
34828 34827 6513;34828
5823 207 23261 1185 4483 4484;207
7645 13551 977;977
381 45994 244 46330;45994 381
44593 44588;44588
45256 44663 44808 45223;45256 44663
47497 47478 47477 47476 47475 47057 25318;47497 47478 47476 47475 47057
688 12744 10333 28345 28328 469 97;688
30735 2022 30736 7499 2328 1818 2681 4580 2192 10346 1688;30735 2022 2192 7499
51073 51105;51073
43187 43192 42457 43182 43181 43162 43154 44116;43192 43182 43187 43181 42457 43154 43162
10219 8677 8672;10219
43189 5476 24201;43189
363 574 486 288;574
4768 359;4768
46950 46951;46951
47472 47060 47059 47061 47506 47058 47473 47505 133 611 249 42846;47060 47061 47506 47473 47058
2865 2867 5844 282 9888 5303 24090 9893 2792 1561 8150 7035 3341;2867 7035 2865
39273 39259 8769;39273 39259
37912 36765 37890 16200 5732 37905 36422 30761 29 705;5732 36765 37912 16200
36424 36423 28341 36427;36427 36424 28341
203 204 2173;203
46584 1704 48025;46584
23104 5614 2111 39272 6192 6694 33041 44663 45233 44595 815 42661 7950 494 39317 44087;5614 23104 39272 42661 44663 33041
4410 4409 46339 43166 46298;4409
3155 45800 45791 45780 484;45800 45791 45780
204 205 421 203 45317 1183 116;205 204 203 45317
332 351 2197 604 946 31 486 90 2860 2556 541 32 352 574 360;332
782 23485 23169 796 1762;782
51089 45215 51114;51089 51114
31043 33038 33032 30970 1818;31043 33038 33032 30970
32210 48280 48266;32210 48280
50340 50341 50327 46928 50326;50341 50327 50326
46951 46950 46309 457;46309 46950
2945 40674;40674
28321 26267 28339 28332 344 163 9277 11198 2437;28339 28332 26267 28321
1123 4912 4467 13514;4467 13514
45777 45765;45777
50440 51105 45215 51094 51098 51089 51724 51717;51098 51089
33037 33038 33028 30971 1069 34820 2689 34812 1828;34820 33037 33038 2689
48285 44641;48285
146 1958;146
276 58;58
28365 42445;28365
4899 469 28328 28345;28345
4464 49138 48260;49138
41535 12892 42447 42439;41535 12892
43183 42574 1137 42437 8545;42437
44095 27 182 36417 42846 37876 23072;44095 36417
33036 33040 33054 10610;33054
27218 23080;23080
204 722 116 143 721;116
674 868 42500 42485;674 868
41468 4520 42444 42478 42850;41468 42444
148 149 12341 1260;149 148
3120 46916 6871 46894 46917;46916
10192 42567 7330;10192 42567
5436 42444 2411 42449 42450;42444 5436 42449 42450
21804 42578 17660;42578
9111 8231 6354 6908 955;9111
50304 50307 50306 50314 50292 50315 49130 25355 49096 49099 49119 7159;49099 49119 50306 50292 50314 25355
5180 531 533;531
39272 32210 3726 3725 33034;39272 32210 33034
45214 8815;8815
3078 332 1047 6980;3078 6980
26267 26266 28365 28350 2459;26266 28350 26267
874 253;874
46929 3230 46330 45994;46929 3230
46335 46349 301;46335 46349
879 2687 30756;879
49095 49097 49083 781 493 304 306 33223;493 49083 49097
47530 47497 47478 47477;47530 47497
1183 288 380;288 1183
10 13123 3209 117;10 13123
1174 4366 23615;1174
45280 46300;45280
6381 48260 48266 45794 23602 46944 49151 6461 4634;45794 23602 6381 4634 49151 46944
432 7476 1542 44090 22 41478 47484 1704 2328 1816 1817 41445 28346 1548 10179 3746 14423 39212 42607 2358 16274 13581;44090
49096 49098 49095 49101 49094;49096 49095
917 8544 44615;917 44615
47521 41571 662 41551 46912 3412 45782;662 47521 45782 46912
44632 33050;44632
51095 51100 51074 51132;51095 51132
51 2080 47 23164 28324;2080 28324 51
39293 39277 39240 39297 39263 39285 244;39293 39297 39263 39285 39277
46354 45994 46330 244 46295 24823 301 45799;46295 45994 24823 301
1983 22231 46328 301 46295 244 23274;22231 46328
23118 8073 14884;23118
38150 23332 28329 23164 51 23594 2371 28362;23164 2371
667 797 668;668 667
46315 175 45817 43162 32210 170 44097 487 40672 1671 42448 3803;46315 42448
32 3202 2190;2190
42868 44582 33369 4412;42868 4412
611 3227 384 3410 781 4676;3227 384 3410
561 639 37910;37910
47492 47500 47494 43187 43207;43187 47492 47494 47500
28350 26266 26264 28389 23644 30754 28858;26266 28350 28858 30754
3834 634 916 45225 917;917 45225
37871 37878 37901 6305;37871 37878
10 473;473
1661 2453 7080;7080 1661
26266 23644;26266
28460 387 307;28460 307
10443 38691 50800 50553 45225 6119 5869 11018 15440 11626;50553 38691
51120 1653 7655;51120 7655
3215 33041 6123 42450 3216 23715 5104 39307 9730 16721 16127;33041 6123 39307
2998 7889 359 11091 5487 26751;26751
47059 47058 47471 47505 22203 4408 49178 3223 45597 45487 46901 46243 45289 18153 50304 25355 50292 49130 11586 50293;22203 25355 49178 50293
4773 8439 8440 21445 12843 12842 21562 18164 14490 24747 15214 18898 24156 22524 20577 14908 9363 15101 7329 9733 7706 1974 2919 6157 11353 10823 9185 2041 8443 2045 16588 17021 12189;8440 2919 9185 14908 11353 15101 2045
44616 716 43156;716
46300 46297 46296;46300 46297
7923 7281 4050 2751;2751
